Area-Year,Predicted Export Value (USD),Actual Export Value (USD)
Afghanistan-2020,18.870077,20.360995711992572
Afghanistan-2021,15.651678,20.400176044634144
Afghanistan-2022,13.664772,20.10016579593749
Albania-2020,18.546564,18.546877881561368
Albania-2021,17.042055,18.53922002691499
Albania-2022,15.490595,18.845328221677203
Algeria-2020,18.339806,20.015994397000437
Algeria-2021,16.819885,20.078297814882323
Algeria-2022,14.567001,19.95638987386973
Angola-2020,14.798993,16.654032726418606
Angola-2021,14.02483,16.411678280831058
Angola-2022,14.303286,16.987392045200878
Antigua and Barbuda-2020,14.367823,12.015396284353466
Antigua and Barbuda-2021,14.49981,10.164312170818027
Antigua and Barbuda-2022,11.552369,11.139104362196525
Armenia-2022,14.564181,20.09143645907399
Bahamas-2020,13.695227,11.68561747278834
Bahamas-2021,13.678839,11.824153150997024
Bahamas-2022,14.976011,12.150718485398096
Bahrain-2020,19.535475,19.303233331488787
Bahrain-2021,19.776525,19.068479398605767
Bahrain-2022,16.335958,19.115217957968017
Bangladesh-2020,19.730124,19.82700452037558
Bangladesh-2021,19.540358,20.110029970812903
Bangladesh-2022,14.585813,20.102877324352868
Barbados-2020,17.328054,17.204428859339906
Barbados-2021,16.282652,17.254900239528652
Barbados-2022,14.798104,17.47775287262031
Belarus-2021,19.051462,21.137869824658
Belarus-2022,15.422313,21.19078164913999
Belize-2020,18.871202,18.793875727504332
Belize-2021,18.575315,18.919734125993045
Belize-2022,14.790298,18.970505671747063
Benin-2020,18.53987,18.75563397031858
Benin-2021,17.764147,18.605825478493763
Benin-2022,14.273693,18.201285533821707
Bhutan-2020,16.511084,16.62301567092302
Bhutan-2021,14.657091,16.793552272235345
Bhutan-2022,14.4145355,16.268809574756332
Bolivia (Plurinational State of)-2020,19.958555,20.383613834223098
Bolivia (Plurinational State of)-2021,18.814024,20.81018745824145
Bolivia (Plurinational State of)-2022,14.358951,21.084762617125534
Bosnia and Herzegovina-2020,18.697178,19.309266657094955
Bosnia and Herzegovina-2021,17.896982,19.37632148831259
Botswana-2020,17.674152,16.59750738487125
Botswana-2021,16.335468,16.93231201741922
Botswana-2022,13.637596,16.962807456099533
Brunei Darussalam-2020,13.746342,13.617035228699086
Brunei Darussalam-2021,11.4902725,14.627941869195759
Brunei Darussalam-2022,11.792105,14.22967769336634
Bulgaria-2020,20.260931,21.785182761082527
Bulgaria-2021,20.305693,22.11900925478773
Bulgaria-2022,17.372503,22.360562367321656
Burkina Faso-2020,19.412474,19.165769498721083
Burkina Faso-2021,18.878902,19.336484517281452
Burkina Faso-2022,15.480244,19.471327388440994
Burundi-2020,16.718058,16.70296528768983
Burundi-2021,14.601339,16.323304126016808
Burundi-2022,15.248524,16.87369730754162
Cabo Verde-2020,13.271318,13.072836942253927
Cabo Verde-2021,10.787789,12.591335046320818
Cabo Verde-2022,14.266755,12.994530005894443
Cambodia-2020,20.198391,20.464343114573353
Cambodia-2021,19.587664,20.557047567437877
Cambodia-2022,14.489014,20.636508809425393
Cameroon-2020,19.024092,18.353903345064047
Cameroon-2021,18.073488,18.686284524746853
Cameroon-2022,14.494862,19.13783044538562
Central African Republic-2020,7.905506,12.312907074444
Central African Republic-2021,9.026659,9.965052908194282
Central African Republic-2022,11.967176,11.660483029327843
Chad-2020,16.372898,13.606232928886675
Chad-2021,16.208273,14.564650473224152
Chad-2022,16.1088,10.897479792074135
Chile-2021,20.924753,22.828430768319905
Chile-2022,19.23749,22.8675521782464
"China, Hong Kong SAR-2020",20.452534,22.138680508553318
"China, Hong Kong SAR-2021",20.632334,22.25232432285688
"China, Hong Kong SAR-2022",16.461535,22.086451650432302
"China, Macao SAR-2020",7.8609705,16.43117642812216
"China, Macao SAR-2021",9.200123,16.28955004006597
"China, Macao SAR-2022",0.35178345,17.225795852499473
"China, Taiwan Province of-2020",21.068155,20.97991281189385
"China, Taiwan Province of-2021",20.956455,21.139006536536122
"China, Taiwan Province of-2022",16.343075,20.99036669678311
Colombia-2020,21.27886,21.736200618624633
Colombia-2021,21.170364,21.835745507470122
Colombia-2022,18.842201,21.99761333440387
Comoros-2020,9.787864,10.176943917723927
Comoros-2021,9.218658,10.5184028848265
Comoros-2022,12.401966,8.930626469173578
Congo-2020,15.9670925,15.569249660002162
Congo-2021,15.887903,15.574588420735958
Congo-2022,14.710426,15.502494525565606
Cook Islands-2020,16.170761,11.74379906234635
Cook Islands-2021,13.984982,12.019321291656833
Cook Islands-2022,14.930113,11.169730682588188
Costa Rica-2020,21.063948,21.86993708283476
Costa Rica-2021,21.007746,21.979253660004215
Costa Rica-2022,16.565006,21.986017240236592
Côte d'Ivoire-2020,19.73028,21.163848720607845
Côte d'Ivoire-2021,18.980543,21.378324299804397
Côte d'Ivoire-2022,15.821677,21.400851604332978
Croatia-2020,21.03916,20.81502828553339
Croatia-2021,20.90058,21.020605283977524
Cuba-2020,17.7352,19.848823252917054
Cuba-2021,15.589422,19.664147291463184
Cuba-2022,14.689199,19.497438315226923
Cyprus-2020,18.706396,18.530451858602497
Cyprus-2021,19.33644,18.638107827353224
Cyprus-2022,16.131573,18.632889123616874
Czechia-2021,21.485392,22.118161587328505
Democratic People's Republic of Korea-2020,17.523254,17.63893554653702
Democratic People's Republic of Korea-2021,16.384583,17.676713420209076
Democratic People's Republic of Korea-2022,13.479452,17.377999633044638
Democratic Republic of the Congo-2020,15.631651,15.802734009399796
Democratic Republic of the Congo-2021,15.891418,15.245000893482992
Democratic Republic of the Congo-2022,14.878463,16.44743177167761
Djibouti-2020,15.219478,19.080808380305385
Djibouti-2021,13.599783,19.776362045546744
Djibouti-2022,13.4985,19.981998616633504
Dominica-2020,14.287727,15.160680795594216
Dominica-2021,9.411838,15.222587458266693
Dominica-2022,14.125874,15.36771758334407
Dominican Republic-2020,19.754019,21.263586196824086
Dominican Republic-2021,19.367323,21.489015713729078
Dominican Republic-2022,15.535259,21.593629800417826
Ecuador-2020,21.146898,22.266513103703133
Ecuador-2021,20.653284,22.253174662114763
Ecuador-2022,18.642355,22.318789676069155
Egypt-2020,21.166285,22.070678042196036
Egypt-2021,20.855284,22.24175355341808
Egypt-2022,16.698013,22.329539670959683
El Salvador-2020,19.871965,20.19803899497411
El Salvador-2021,19.405636,20.311496337861414
El Salvador-2022,13.05501,20.3459452158734
Equatorial Guinea-2020,10.14501,12.341302594790278
Equatorial Guinea-2021,10.172712,13.092584350915205
Equatorial Guinea-2022,11.830307,18.24903238539286
Eritrea-2020,9.109228,11.754380336055691
Eritrea-2021,9.455935,11.302821527163822
Eritrea-2022,11.936154,9.934016757570951
Estonia-2022,18.443785,20.34790380041409
Eswatini-2020,18.338802,20.013071190544863
Eswatini-2021,18.624977,20.132521333950937
Eswatini-2022,15.56652,19.825514876477968
Ethiopia-2020,18.717934,20.196864878280138
Ethiopia-2021,18.335043,20.352350086642222
Ethiopia-2022,14.972233,20.169483267662162
